Date,amgn,gd,nwl,zion,mat,vno,sbac,flir,wfc,aee,fcx,ksu,mtb,duk,tss,etr,pnr,incy,regn,mdlz,wynn,pep,dva,ads,mnst,sti,akam,tfx,wat,antm,hon,o,usb,ma,rtn,sna,dre,csx,pcar,pru,amp,ndaq,ual,apa,re,gww,dte,cf,aig,msci
2017-06-30,165.16733,155.81946,45.50298,39.991993,21.103062,95.776566,110.57139,33.217037,52.74245,41.29032,12.207264,97.70776,138.94101,68.018654,58.07057,73.19746,60.94593,128.05634,558.48773,46.090096,128.44887,105.305756,75.55484,262.60526,51.157806,46.846542,56.581684,191.00134,162.22359,158.54561,97.544075,44.35164,40.635624,89.97765,113.4401,108.00482,18.906342,35.017143,54.255035,75.441,111.7801,51.059025,55.13211,68.02566,166.51553,182.98636,76.579445,40.66732,264.0652,73.527435
2017-07-03,164.33461,155.1985,45.425617,40.17636,21.16841,95.19338,110.872604,32.938065,52.414013,41.127617,12.191625,97.63492,138.36194,67.94307,56.521786,72.194534,60.85994,127.51873,553.90393,45.96546,130.2889,105.31788,75.59707,261.93933,50.924538,46.699074,56.893795,186.74641,160.34319,157.45427,97.04665,44.11842,40.33811,89.68298,112.72923,107.97478,18.843561,34.663826,54.10193,75.37269,110.74815,50.859726,54.65046,66.961555,165.5346,182.38838,76.2613,40.285236,258.74548,71.70069
2017-07-04,164.59012,155.72562,45.918507,40.53626,21.731441,96.11959,109.71217,32.879997,53.034676,41.314518,12.6308,98.34093,140.5963,68.0002,57.90661,71.7639,61.354298,127.999084,556.0018,46.247913,131.62141,105.30532,75.61431,264.0126,51.270325,47.11046,57.19862,191.04608,161.83473,158.51393,98.49211,44.56508,41.08067,90.61923,114.4436,109.68389,18.892794,35.151295,54.549538,75.536674,112.62147,51.604183,56.093513,69.21327,166.95354,184.3763,76.42549,41.40597,260.88467,74.549484
2017-07-05,165.00226,156.54538,46.13403,40.941666,21.99537,96.38677,110.05982,32.851223,53.436733,41.44322,13.02583,98.855705,141.34529,67.956314,58.789062,71.56257,61.54344,128.24829,557.46173,46.339344,131.72151,105.622185,75.57183,265.14017,51.37131,47.312084,57.412945,192.77728,162.88544,159.31578,99.62279,44.919956,41.474022,91.32379,115.94791,111.10917,18.922712,35.49665,55.018723,75.97067,113.72117,52.14809,56.64983,71.5611,168.08896,186.39244,76.65811,42.490005,265.5052,76.90643
2017-07-06,165.1323,156.76161,46.196564,41.088314,22.037603,96.45657,110.2184,32.737263,53.569664,41.43865,13.177672,98.93742,141.67216,67.92657,59.109913,71.407364,61.664272,128.42838,558.4886,46.27827,131.45866,105.71163,75.54725,265.42862,51.25041,47.320816,57.535908,193.66368,163.22571,159.68102,100.16961,45.156994,41.54935,92.003365,117.29703,112.39573,18.910336,35.622406,55.229733,76.32103,114.10955,52.46951,56.759583,73.13302,168.76466,188.11092,76.69242,43.3342,269.68216,78.3283
2017-07-07,164.77492,156.69443,46.047596,40.913635,21.924786,96.044235,110.3833,32.49083,53.494392,41.327595,13.058439,98.74105,141.39835,67.854576,58.78871,71.15538,61.596733,128.32185,557.877,46.05617,130.41495,105.6268,75.49136,264.58685,50.901875,47.223175,57.408226,193.15485,162.6749,159.6262,100.26839,45.239475,41.501392,92.6807,118.35703,113.47493,18.855492,35.60473,55.245995,76.66589,113.96405,52.58942,56.57572,73.64328,168.88991,189.16171,76.56641,43.866825,272.0405,78.81777
2017-07-10,163.73639,156.29486,45.73279,40.401424,21.694132,95.42433,110.4758,32.259975,53.235493,41.14099,12.693381,98.56497,140.72894,67.76387,57.98652,70.715385,61.415455,128.02202,556.04193,45.703278,128.36218,105.37561,75.42545,262.82764,50.448982,47.058212,56.997993,191.60773,161.63133,159.23581,100.02491,45.174477,41.374355,93.39208,119.372185,114.304214,18.77182,35.49821,55.108982,77.00428,113.44927,52.575195,56.225098,73.14897,168.59299,189.29562,76.31075,44.10272,271.9923,78.5934
2017-07-11,164.26308,156.46672,46.071224,40.234455,21.86528,95.816246,109.91534,32.498783,53.556747,41.229347,12.641385,98.61968,141.52708,67.92769,58.73139,70.889305,61.554768,128.55518,557.90497,45.804035,130.9369,105.29401,75.44279,263.90125,50.636566,47.185,57.001854,193.81673,162.18088,159.9318,100.547646,45.456882,41.646626,93.684814,120.61101,114.800575,18.85462,35.662766,55.29037,77.03872,114.40704,52.910614,56.864124,73.601234,169.09222,190.14525,76.389046,44.61818,274.90073,79.81075
2017-07-12,164.91092,156.8996,46.16154,40.359135,22.045385,95.84544,110.18408,32.938126,53.76575,41.32481,12.767935,98.828476,141.861,67.92324,59.243996,71.187645,61.61839,129.05316,558.71857,45.827744,132.21202,105.43305,75.36629,264.50592,50.83106,47.254562,57.149975,194.87581,162.50786,160.2248,100.87369,45.610466,41.685844,93.792496,121.25314,114.94407,18.940123,35.765003,55.465057,77.04557,114.98279,53.12834,56.97193,73.92415,169.66386,190.71701,76.57499,44.756878,278.9636,80.50062
2017-07-13,165.39394,156.9575,46.147495,40.58262,22.155424,96.02276,110.28347,33.47975,53.760372,41.30852,12.795303,98.994026,141.83,67.91795,59.50485,71.47196,61.647243,129.56056,558.96216,45.790443,132.80289,105.452866,75.34687,264.8255,50.91194,47.225918,57.336353,195.13158,162.57043,160.22221,100.86138,45.70188,41.59841,93.89186,121.60513,115.097,18.988375,35.76984,55.506176,77.07953,115.04947,53.183235,56.82547,73.88587,170.0035,191.37833,76.75948,44.729183,282.3456,80.60105
